Company,Date,Time,Vehicle 1 Year,Vehicle Make,Vehicle Model,Address,City,County,Zip Code,Vehicle 1 Status,Vehicle 2 Status,Vehicles Involved,Describe Veh Damage,Mode,Weather,Lighting,Roadway Surface,Roadway Condition,Mov Proceed Col Veh 1,Mov Proceed Col Veh 2,Collision Type,Vehicle type,Location,Fault,Number of injuries,Injuries,Description,Damaged Area,Latitude,Longitude,Census Tract Code,Census Block Code,Census Block Group,Median Age,Population,White,Black,Asian,Hispanic,Other,Median Income
C,9/8/18,6:50 PM,2017,Chevrolet,Bolt,McAllister Street & Hyde Street,San Francisco,San Francisco,94102,Moving,Moving,2,Minor,Conventional,Clear,Daylight,Dry,Unknown,Proceeding Straight,Merging,Side Swipe,Mid-Sized Car,Street,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling southbound on Hyde Street approaching McAllister Street when a parked vehicle pulled out in front of the Cruise AV making contact with with the Cruise A V's passenger side door causing light damage on both the front and rear passenger side door panels. There were no injuries and police were not called. ","9, 10, 11, 12, 13, 14, 15",37.780719,-122.415316,012405,1001,1,,,,,,,0,
C,9/9/18,1:20 PM,2017,Chevrolet,Bolt,Divisadero Street and Fell Street,San Francisco,San Francisco,94117,Stopped in Traffic,Moving,2,Minor,Conventional,Clear,Daylight,Dry,Unknown,Stopped,Proceeding Straight,Rear End,Compact Car,Street,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was stopped in traffic southbound on Divisidero Street just past Fell Street when another vehicle rear ended the Cruise AV causing minor damage to the rear of the Cruise AV. The driver of the other vehicle did not stop. There were no injuries and police were not called.","7, 8, 9",37.774062,-122.437611,016400,2005,2,,,,,,,0,
B,9/14/18,7:03 PM,2017,Chrysler,Pacifica,Villa St. & Shoreline Blvd.,Mountain View,Santa Clara,94041,Stopped in Traffic,Moving,2,Minor,Autonomous,Clear,Daylight,Dry,No Unusual Conditions,Stopped,Making Right Turn,Rear End,Truck/Bus,Intersection,Vehicle 2,0,None,"A Waymo autonomous vehicle (""Waymo A V"") was stopped in A utonomous mode in the sliplane of Villa St. and Shoreline Blvd. in
Mountain V iew when a passenger vehicle struck the rear of the Waymo AV at low speed. T he Waymo AV sustained minor damage to the
rear bumper, and the passenger vehicle had minor damage to the front bumper. No injuries were reported at the scene. ",8,37.395559,-122.08335,509600,2007,2,,,,,,,0,
B,9/18/18,12:21 PM,2017,Chrysler,Pacifica,100 Mayfield Ave,Mountain View,Santa Clara,94043,Moving,Moving,2,Minor,Autonomous,Clear,Daylight,Dry,No Unusual Conditions,Making Left Turn,Proceeding Straight,Rear End,Mid-Sized Car,Parking,Vehicle 2,0,None,"A Waymo autonomous vehicle("" Waymo AV"" ) in autonomous mode was rear ended after entering the parking lot at l 00 Mayfield Ave. The Waymo AV was yielding for an oncoming vehicle while preparing to make a left turn inside the parking lot. There was minor damage to both vehicles and no injuries reported at the scene by either party. ",7,37.40718,-122.104659,509302,1009,1,44,1329,779,0,308,82,160,234688
C,9/22/18,4:48 PM,2019,Chevrolet,Bolt,Bryant Street and Mariposa Street,San Francisco,San Francisco,94107,Stopped in Traffic,Moving,2,Minor,Conventional,Clear,Daylight,Unknown,No Unusual Conditions,Parked,Parking Maneuver,Side Swipe,Mid-Sized Car,Parking,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was parked on southbound Bryant Street just past
Mariposa Street when another vehicle pulled in front of the Cruise AV too tightly, scratching the left front bumper of the Cruise
AV and denting the right rear side of the other vehicle. There were no injuries. The police were called, but no report was
available at the time of the filing of this report. ",1,37.763028,-122.410244,022801,1013,1,,,,,,,0,
A,9/24/18,9:18 AM,2016,Toyota,Highlander,The Embarcadero and Broadway ,San Francisco,San Francisco,94111,Stopped in Traffic,Moving,1,None,Conventional,Clear,Daylight,Unknown,No Unusual Conditions,Stopped,Proceeding Straight,Rear End,Two-Wheels,Intersection,Vehicle 2,0,None,"A Waymo autonomous vehicle("" Waymo AV"" ) in autonomous mode was rear ended after entering the parking lot at l 00 Mayfield Ave. The Waymo AV was yielding for an oncoming vehicle while preparing to make a left turn inside the parking lot. There was minor damage to both vehicles and no injuries reported at the scene by either party. ",0,37.799233,-122.39767,010500,2001,2,,,,,,,0,
B,9/24/18,4:58 PM,2017,Chrysler,Pacifica, Rengstorff Ave. and Garcia Ave,Mountain View,Santa Clara,94043,Stopped in Traffic,Moving,2,Minor,Autonomous,Clear,Daylight,Dry,No Unusual Conditions,Stopped,Slowing/Stopping,Rear End,Truck/Bus,Intersection,Vehicle 2,0,None,"A Waymo autonomous vehicle("" Waymo AV"" ) in autonomous mode was rear ended after entering the parking lot at l 00 Mayfield Ave. The Waymo AV was yielding for an oncoming vehicle while preparing to make a left turn inside the parking lot. There was minor damage to both vehicles and no injuries reported at the scene by either party. ",8,37.425339,-122.093139,504601,1065,1,,,,,,,0,
A,10/12/18,3:04 PM,2016,Toyota,Highlander,Mason St. & Post St.,San Francisco,San Francisco,94102,Stopped in Traffic,Moving,2,Minor,Conventional,Clear,Daylight,Dry,No Unusual Conditions,Stopped,Changing Lanes,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"On October 12th, 2018, at approximately 3:04 PM, a Zoox vehicle, operating in Conventional Mode, was rear-ended by a Honda Accord .
The Zoox vehicle was traveling southbound on Mason St and then stopped for a red light at the intersection of Mason St. and Post St. The
right-side of the front bumper of the Honda made contact with left-side of the back bumper of the Zoox vehicle as the Honda attempted to
pass to the left of the Zoox vehicle into the parking lane.
The Honda was traveling at less than 2 mph when it made contact with the stationary Zoox vehicle at the Mason St. and Post St intersection.
There were no injuries. The police were not called."" ",7,37.788081,-122.410057,012302,3001,3,,,,,,,0,
C,10/14/18,12:28 PM,2019,Chevrolet,Bolt,Cherry St. between California St. and Sacramento St. ,San Francisco,San Francisco,94118,Moving,Stopped in Traffic,2,Moderate,Conventional,Clear,Daylight,Dry,No Unusual Conditions,Passing Other Vehicle,Entering Traffic,Head On,Compact Car,Street,Vehicle 1,0,None,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was parked on southbound Bryant Street just past
Mariposa Street when another vehicle pulled in front of the Cruise AV too tightly, scratching the left front bumper of the Cruise
AV and denting the right rear side of the other vehicle. There were no injuries. The police were called, but no report was
available at the time of the filing of this report. ","1, 18",37.786927,-122.456875,013300,5005,5,,,,,,,0,
B,10/15/18,9:07 PM,2017,Chrysler,Pacifica,Shoreline Blvd. at El Camino Real,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,Minor,Autonomous,Clear,Dark - Street Lights,Dry,No Unusual Conditions,Stopped,Making Right Turn,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Waymo A utonomous Vehicle (""Waymo AV"") traveling in Autonomous mode southbound on Shoreline Boulevard, in the right hand slip lane, turning right onto westbound El Camino Real in Mountain View when the Waymo AV came to a stop to yield to approaching traffic from the left, when it was struck from behind by a passenger vehicle. T he Waymo AV sustained minor damage and the passenger vehicle had minor damage. T here were no injuries reported at the scene. ","7, 8",37.412004,-122.07831,504601,1084,1,43.2,1269,341,14,309,554,46,72891
