Company,Date,Time,Vehicle 1 Year,Vehicle Make,Vehicle Model,Address,City,County,Zip Code,Vehicle 1 Status,Vehicle 2 Status,Vehicles Involved,Describe Veh Damage,Mode,Weather,Lighting,Roadway Surface,Roadway Condition,Mov Proceed Col Veh 1,Mov Proceed Col Veh 2,Collision Type,Vehicle type,Location,Fault,Number of injuries,Injuries,Description,Damaged Area,Latitude,Longitude,Census Tract Code,Census Block Code,Census Block Group,Median Age,Population,White,Black,Asian,Hispanic,Other,Median Income
Delphi,10/14/14,7:27 PM,2014,Audi ,SQ5,San Antonio Road (600 Block),Palo Alto,Santa Clara,94303,Stopped in Traffic,Moving,2,Moderate,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Straight Road,Vehicle 2,0,None,"The Audi, in conventional mode, transitioned from Byron to San Antonio E/B and waited in the merge pocket for traffic to clear. After approximately 20 seconds of waiting stationary for traffic to clear, a Honda was observed to the left coming over the elevated center island. The Honda hit the right front of Audi and continued to go over another center island at 25-30 mph. Honda came to a stop approximately 75-100 yards from impact heading W/B in the E/B lane. Audi vehicle damage includes right fender, front bumper/fascia.

As reported in the attached Traffic Collision Report, 14-5925, the driver of the Honda was determined to have caused the accident by making an unsafe turning movement in violation of CVC 22107 and was served with a notice of priority reexamination of his driver's license. Attachment: Traffic Collision Report 14-5925
","1, 15, 16, 17, 18",37.468827,-122.141075,612002,1005,1,,,,,,,0,
Waymo LLC,2/26/15,12:00 AM,Unknown,Lexus,RX450h,El Camino Real and View St. ,Mountain View,Santa Clara,94040,Moving,Moving,2,Unknown,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"The Lexus AV was traveling northbound on El Camino Real in Autonomous Mode when an Audi sedan traveling wesrbound on View St. failed to come to a stop at the stop-sign at the intersection of El Camino Real and View St. The Audi rolled through the stop-sign and struck the right rear quarter panel and right rear wheel of the Lexus AV. Prior to the collision, the Lexus AV's autonomus tech began applying the brakes in response to its detection of the Audi's speed and trajectory. Just before the collisions, the driver of the Lexus AV disengaged Autonomous Mode and took maual control of the vehicle in response to the application of the brakes by the Lexus AV's autonomous technology. ","9, 10, 11",37.683107,-122.463616,601601,1004,1,,,,,,,0,
Waymo LLC,4/7/15,12:00 AM,2011,Lexus,RX450h,Castro St and El Camino,Mountain View,Santa Clara,94040,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Compact Car,Intersection,Vehicle 2,0,None,"The above identified Google Lexus autonomous vehicle (Google AV) was invilved in an accident in Mountain View when traveling northbound on Castro St. and making a right turn onto El Camino eastbound. The Google AV was operating in Autonomous Mode at the time of the accident. The Google AV was traveling northbound in the rightmost lane of Castro St. and came to a complete stop for a red light at the intersections of Castro St. and El Camino Real. The Google AV then proceeded to make a right turn on red by creepijng forward to obtain a better field of view of cross traffic on El Caminon Real and came to a stop in order to yeiled to the approaching vehicle. The Google AV was just starting to move (<1 MPH) when the vehicle following immediately behind it, which was also attempting to make a right turn onto El Camino Real, failed ot brake sufficeiently and struck the Google AV 's bumper at approximately 5 MPH. All occupants of both vehicles involved were uninjured in the collision. The Google AV sustained minimal body damage, and the other vehicle sustained no visible body damage. ","7, 8, 9",37.385699,-122.08397,509802,1000,1,,,,,,,0,
Waymo LLC,4/27/15,4:27 PM,2015,Lexus,RX450h,California St and Shoreline Blvd,Mountain View,Santa Clara,94043,Stopped in Traffic,Moving,2,None,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Intersection,Vehicle 2,0,None,"Lexus RX450H (the ""AV"") in autonomous mode heading southbound on California st in Mountain View, was stopped for a red light in hte right lane (lane 2) at the intersection of California St. and Shoreline Blvd. A Toyota Camry immediately behind the AV attemoted to pass the AV on its right in the bike lane, in order to make a right turn onto Shoreline Blvd. While passing the AV, the Toyota's driver's side mirror brushed one of the AV's sensors located on the passenger's side of the AV, Neither vehicle was damaged. ",15,37.392989,-122.08496,509600,2026,2,,,,,,,0,
Waymo LLC,5/30/15,12:00 PM,2011,Lexus,RX450h,720 Shoreline blvd,Mountain View,Santa Clara,94041,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on Shoreline Blvd. in Mountain View in autonomous mode and was stopped behind traffic at a red light at the intersection of Shoreline Blvd. and El Camino Real. A ford Expedition approaching from behind collided with the rear bumper and sensor of the Google AV. The approcimate speed of the Ford Expedition at the time of the impact was 1 mph. There were no injuries reported at the scene by either party. The Google AV sustained minor damage to its rear sensor and bumper. There was no visible damage to the Ford Expedition. ","7, 8, 9",37.389006,-122.087832,509500,3025,3,39.6,1624,871,45,214,365,129,107042
Waymo LLC,6/4/15,8:54 AM,2012,Lexus,RX450h,California Street and Rengstorff Ave,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,None,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on Shoreline Blvd. in Mountain View in autonomous mode and was stopped behind traffic at a red light at the intersection of California St. and Rengstorff Ave. A vehicle approaching from behind collided with the rear bumper of the Google AV. The Google AV was stopped for approximately 17 seconds prior to the collision. The approximate speed of the other vehicle at the time of impact was <1mph.  There were no injuries reported at the scene by either party. The google av sustained no damage and there were no visible damage to the other vehicle. ","7, 8, 9",37.39898,-122.09995,509404,3003,3,,,,,,,0,
Waymo LLC,6/18/15,11:15 AM,Unknown,Lexus,RX450h,California and Bryant,Mountain View,Santa Clara,94041,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling southbound on California St. in Mountain View ina utonomous mode and was stopped at a red light in the straight only lane at the intersection of California St and Bryant St. The lane to the left of the google av was a left turn only lane. The vehicle waiitng immediately behind the google av in the straigh only lane began to move forward when the green arrow left turn signal appeared (despite the signal for the straight only lane remaining red) and collided with the rear bumper of the google av. the google av had been stopped for about 11 seconds at the time of impact. The other vehicle was traveling about 5 mph at the time of the impact. There were no injuries reported at the scene by either party. The google av sustained minor damage (scrapes) to its rear bumper. The other vehicle sustained minor damage (scrapes) to  its front bumper. ","7, 8, 9",37.391689,-122.08164,509600,2022,2,,,,,,,0,
Waymo LLC,7/1/15,6:16 PM,2012,Lexus,RX450h,Grant Rd. and Phyllis Ave,Mountain View,Santa Clara,94043,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,4,"The driver, co-driver and rear passenger of the Google AV reported some whiplash. The driver of other vehicle reported minor neck and back pain","A Google Lexus model autonomous vehicle (""Google AV"") was traveling northbound on Grant Rd. in Mountain View approaching the
intersection of Phyllis Ave. and Martens Ave. in autonomous mode. The two vehicles in front of the Google AV, the Google AV, and the
vehicle behind the Google AV were all traveling at a steady speed of - 15 mph. While approaching a green light intersection with stopped traffic on the other side of the intersection, the first vehicle decelerated and came to a stop, keeping clear of the intersection. The vehicle directly in front of the Google AV and the Google AV also decelerated and came to a stop with adequate and similar stopping distances. About 1 second later, the vehicle approaching from the rear struck the Google AV at ~ 17mph and did not appear to decelerate prior to the collision. At the time of the incident, the driver, co-driver, and rear passenger of the Google AV reported some whiplash. They were driven by other team members to a local hospital, where they were evaluated by medical staff and cleared to return to work. The driver of the other vehicle reported minor neck and back pain. The Google AV sustained minor damage to its rear bumper. The other vehicle sustained
significant damage to its front end.","7, 8, 9",37.376149,-122.07633,509902,1006,1,,,,,,,0,
Waymo LLC,8/20/15,9:36 AM,Unknown,Lexus,RX450h,Shoreline Blvd and High School Way,Mountain View,Santa Clara,94040,Moving,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,1,"The Google AV test driver reported minor back pain and was takento a local hospital by Google employees, where he was evaluated and released by medical staff","A Google Lexus autonomous vehicle (""Google AV"") operating in autonomous mode and traveling northbound on Shoreline BIvd. in
Mountain View in lane two (the second of three lanes) was involved in an accident. As the Google AV approached the intersection of
Shoreline Blvd. and High School way, a pedestrian began to cross the northbound lanes of Shoreline Blvd. in the crosswalk traveling
westbound. The Google AV slowed to yield as it approached the crosswalk, and out of an abundance of caution the Google AV test driver
disengaged the autonomous technology and took control of the vehicle. A vehicle in lane three to the immediate right of, and traveling in the
same direction as, the Google AV was already stopped and yielding the right of way to the pedestrian. A vehicle in the process of changing
lanes from lane one into lane two and approaching from the rear struck the Google AV. The Google AV was travelling 5 mph at the time of
impact, and braking to stop for the crosswalk. The other vehicle was travelling approximately 10 mph at the time of impact.
The Google AV test driver reported minor back pain and was taken to a local hospital by Google employees, where he was evaluated and
released by medical staff. The Google AV co-test driver did not report any injuries. The Google AV sustained minor damage to its rear left
bumper. The other vehicle sustained moderate damage to its front end and was towed from the scene. The driver of the other vehicle did
not report any injuries at the scene.","6, 7",37.38821,-122.08647,509600,1002,1,,,,,,,0,
Waymo LLC,11/2/15,2:30 PM,2012,Lexus,RX450h,Clark Ave and El Camino Real,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""Google AV"") in autonomous mode travelling northbound on Clark Ave in Mountain View
was involved in an accident. As the Google AV approached the intersection of Clark St. and El Camino Real it activated its turn signal to
indicate its intention to make a right turn on El Camino Real. The Google A V came to a complete stop at a red light at the intersection and
then b e g a n t o slowly a d v a n c e in order to get a better view o f cross traffic on E l C a m i n o R e a l approaching from the left to determine
whether it was clear to make the right turn on red. A vehicle approaching from behind stopped and then rolled forward and collided with the
rear bumper of the Google A V. The approximate speed of the other vehicle at the time of impact was 4 MPH. The speed of the Google AV
at the timo of impact was below 1 MPH.
There were no injuries reported at the scene by cither party. The Google AV sustained minor damage to the rear bumper. The other vehicle
sustained minor damage to the passenger side headlight, vehicle hood, and front bumper.","7, 8, 9",37.39403,-122.09819,509403,3003,3,,,,,,,0,
Cruise,1/8/16,1:14 PM,2012,Nissan,Leaf,7th and Bryant,San Francisco,San Francisco,94103,Stopped in Traffic,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Head-on,Compact Car,Straight Road,Vehicle 1,0,None,"A Cruise Nissan Leaf autonomous vehicle (""Cruise AV"") was in autonomouse mode traveling north at approcimately 20 miles per hour in the right lane of 7th Street. The vehicle began moving within its lane to the left, and then correcting to the right, at which point the drvier decided to take over manual control. After taking over manual control, the operator did not change the path of vehicle and collided with an unoccupied Toyata Prius that was parallel parked on 7th Street approximately 20 feet before the intersection with Bryant Street. The Prius sustained minor visible damage to the front left quarterpanel area. The Cruise AV sustained minor visible damage to the front right quaterpanel area. There were no injuries.",1,37.77428,-122.404748,018000,4009,4,,,,,,,0,
Waymo LLC,2/14/16,12:00 PM,2012,Lexus,RX450h,El Camino Real and Castro St. ,Mountain View,Santa Clara,94043,Moving,Moving,2,Moderate,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Truck/Bus,Intersection,Vehicle 1,0,None,"A Google Lexus model autonomous vehicle (""google AV"") was traveling in autonomous mode eastbound on El Camino Real in Mountain View in the far right-hand lane approaching the Castro St. intersection. As the Google AV approached the intersection, it signaled its intentto make a right turn on red onto Castro St. The Google AV then moved to the right-hand side of the lane to pass traffic in the same lane that was stopped at the intersection and proceeding straight. However, the Google AV had to come to a stop and go around sandbags positioned around a storm drain that were blocking its path. When the light turned green, traffic in the lane continued past the Google AV. After a few cars had passed, the Google AV test driver saw the bus approaching in the left side mirror but believed the bus would stop or slow to allow the Google AV to continue. Approximately three seconds later, as the Google AV was reentering the center of the lane it made contact with the side of the bus. The google AV was operating in autonomous mode and traveling at less than 2 mph, and the bus was traveling at about 15 mph at the time of contact. The Google AV sustained body damage left front fender, the left front wheel and one of its driver's side sensors. There were no injuries reported at the scene. ","1, 18",37.385699,-122.08397,509802,1000,1,,,,,,,0,
Waymo LLC,4/7/16,10:36 AM,2012,Lexus,RX450h,Bryant St at Oregon Expy.,Palo Alto,Santa Clara,94301,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google Lexus model autonomous vehicle (""Google AV"") was traveling southbound on Bryant St. in Palo Alto in autonomous mode and was stopped behind traffic at the red light intersection of oregon expy. A vehicle attempting to pass on the right shoulder very slightly contacted the google AV. The other vehicles left side view mirror grazed the passenger side of our vehicle. There were no injuries reported at the scene by either party. The google AV sustained no damage and the other vehicles left side  view mirror was slightly polded in. ",1,37.430939,-122.13787,510900,1013,1,,,,,,,0,
Waymo LLC,4/28/16,5:35 PM,2015,Google,Self Driving Car,Nita Ave and San Antonio Rd,Palo Alto,Santa Clara,94306,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google prototype model autonomous vehicle (""Google AV"") proceeding westbound in autonomous mode on Nita Av in Palo Alto was involved in an accident. The Google AV came to a stop at the intersection of San Antonio Road, then, prior to making a right turn on San Antonio Road, began to grafually advance forward in order to get a better view of traffic approaching from the left on San Antonio Road. When the Google AV stopped in order to yielf to traffic approaching from the left on San Antionio Road, a vehicle approaching at approximately 9 mph from behind the Google AV collided witht the rear bumper of the Google AV.","7, 8, 9",37.41028,-122.104636,509302,2014,2,43.4,2290,897,529,677,133,54,119271
Waymo LLC,5/4/16,9:45 PM,2015,Prototype,Prototype,Latham St and Chiquita Ave,Mountain View,Santa Clara,94041,Moving,None,1,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Hit Object,Mid-Sized Car,Intersection,Vehicle 1,0,None,"A Google prototype autonomous vehicle (""Google A V"") in manual mode proceeding westbound on Latham St. in Mountain View struck a median while traveling at 9 mph near the intersection of Chiquita Ave. There were no other vehicles involved and no traffic in the vicinity. There were no injuries. The Google A V sustained minor damage.",8,37.39289,-122.09243,509500,2009,2,,,,,,,0,
Nissan North America Inc,5/10/16,12:00 PM,2010,Nissan,Leaf,Highway 101 Southbound,Sunnyvale,Santa Clara,94089,Moving,Moving,2,Unknown,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Head-on,Compact Car,Straight Road,Vehicle 1,0,None,"The AV Driver was on Highway 101 S between NASA Ames Research Center and Exit 237 to Sunnyvale at approcimately 2PM on Tuesday May 10, 2016. The AV frunctions of the subject vehicle were not engaged at the time. The subject vehicle had one passenger in the back seat. There was heavy traffic traveling at 20-40 mph. The car traveling driectly ahead of the subject vehicle stopped suddenly. The subject vehicle impacted the stopped vehicle at low speed. Both drivers pulled over to the shoulder of the road. No injuries were reported by either vehicle occupant in this minor crash. No airbags devloyed in the crash. Except for minor scuff marks on the leaving vehicle's rear bumper, no other body damage was observed. After exchange of information, both vehicles were driven away from the scene. The police were not called. No other vehicles were involved. ","7, 8, 9",37.412402,-122.015605,504602,1117,1,,,,,,,0,
Waymo LLC,7/15/16,3:26 PM,2015,Google,Self driving car,Cuesta Dr. & Springer Rd,Los Altos,Santa Clara,94024,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google prototype autonomous vehicle (""Google A V"") operating in autonomous traveling westbound on Cuesta Dr in Los Altos, CA was involved in an accident. The Google AV was stopped at the stop sign at the intersection of Cuestea Dr. and Spinger Rd when a vehicle approaching from behind in the same lane collided with the Google AV. The other vehicle was traveling at approximately 7 mph when it struck the Google AV. The Google AV sustrained minor damage to its rear hatch and rear sensor. Google was unable to determine whether or not the other vehicle sustained any damage. There were no injuries reported at the scene. The driver of the vehicle left the scene without exchanging information. Police were notified of the incident. ","7, 8, 9",37.373717,-122.096838,510200,2000,2,,,,,,,0,
Waymo LLC,8/8/16,12:00 PM,2015,Google,Self driving car,Rengstorff Ave and California St,Mountain View,Santa Clara,94043,Moving,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,A Google prototype autonomous vehicle (Google AV) operating in manual mode traveling eastbound on California Rd in Mountain View CA was involved in a minor accident. The Google AV was stopped at the intersection of Rengstorff Av waiting for pedestrains on Rengstorff Av to complete their crossing before it could turn right onto Rengstorff Av. Another vehicle approaching from behind collided with the rear bumper of the Google AV. The other vehicle was traveling at approcimately 4 mph at the time of the collision. The Google AV sustained minor damage to its rear hatch and bumper.,8,37.39898,-122.09995,509404,3003,3,,,,,,,0,
Waymo LLC,8/16/16,12:00 PM,2015,Google,Self driving car,Grant Rd and Phyllis Ave,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,Moderate,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google prototype autonomous vehicle (Google AV) traveling southeastbound on Phyillis Av in Mountain View in autonomous mode was involved in an accident. In preparation for making a right turn onto Grant Rd. the google AV enterned the right turn slip lane and advanced forward at 6 mph to gain a better view of traffic traveling southbound on Grant Rd As the google AV moded forward, it detected a vehicle approaching southbound on Grant D. and came to a stop to yielf to that vehicle. Approximately one second later, a vehicle approaching from behind the Google AV at approximately 5 mph collided with the rear bumper of the google AV. The google AV experienced moderate damage to its rear bumper and hatch. The other vehicle experienced mild damage to its front bumper. ","7, 8, 9",37.376149,-122.07633,509902,1006,1,,,,,,,0,
Waymo LLC,9/2/16,10:41 AM,2015,Google,Self driving car,Grant Rd and Phyllis Ave,Mountain View,Santa Clara,94040,Stopped in Traffic,Moving,2,Moderate,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Google prototype autonomous vehicle (Google AV) traveling southeast on Phyllis Av in Mountain View in autonomous mode was involved in an accident. In preparation for making a right turn onto Grant Rd the google AV entered the right turn slip lane and advanced forward to gain a better view of traffic traveling southbound on grant rd As the google AV moved forward, it detected an oncoming vehicle (traveling southbound on grant rd) and came to a stop in order to yield to the oncoming vehicle. Approximately one second later, a vehicle approaching from behind the google av collided with the rear bumper of the google av at an approcimate speed of 15 mph. ",8,37.376149,-122.07633,509902,1006,1,,,,,,,0,
Waymo LLC,9/7/16,6:47 PM,2015,Google,Self driving car,Nita Ave and San Antonio Rd,Palo Alto,Santa Clara,94306,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,A Google prototype autonomous vehicle (Google AV) proceeding westbound in autonomous mode on Nita Av in Palo Alto was involved in an accident. The google AV came to a stop at the intersection of San Antonio rd.  then in preparation for making a right turn on San Antonio Rd began to gradually advance froward in order to gain a better view of cross-traffic. A 12-passenger shuttle van waiting immediately behind the google AV then advanced forward at approximately 7 mph and collided with rear bumper of the google av. The google av was traveling at approcimately 3 mph at the same of the collision. The google av experienced minor damage to its near bumber and hatch. ,"7, 8, 9",37.41028,-122.104636,509302,2014,2,43.4,2290,897,529,677,133,54,119271
Waymo LLC,9/14/16,3:06 PM,2015,Google,Self driving car,El Camino Real and Showers Drive,Los Altos,Santa Clara,94022,Moving,Moving,2,Minor,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Straight Road,Vehicle 2,0,None,"A Google prototype autonomous vehicle (""Google A V "") traveling eastbound in manual mode on El Camino Real in Los Altos was involved in an acc ident . As the Google A V was completing a l ane change in auto nomous mode from the fat right lane tci the middle lane of El Camino Real near the intersection of Showers Drive, a car stopped in traffic in the far left lane of El Camino Real abrup tly changed lanes
into the middle lane, immediately in front of the Google A V: The Google A V test driver took manual control of the Google AV and quickly merged back into the far rightlane to avoid the vehicle, Another vehicle approaching from behind in the .right lane ofEl Camino Real then struck the rear passenger side quarter panel of the Google AVat approximately 23. mph. The Go ogle AV was travelling at approximately 14 mph at the time of the collision . The Google AV sustained minor damage to its rear passenger-side tire, quarter panel, and door. The other vehicle sustained moderate damage to its front bumper and fron t driver-side fender. There were no injuries reported at the scene by either party. ","1, 16, 17, 18",37.39938,-122.10991,509404,4004,4,,,,,,,0,
Waymo LLC,9/23/16,11:58 AM,2012,Lexus,RX450h,Phyllis and El Camino,Mountain View,Santa Clara,94040,Moving,Moving,2,Major,Conventional,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Side Swipe,Truck/Bus,Intersection,Vehicle 2,1,The Google AV test driver voluntarily went to a loacl hospital where he was evaluated by medical staff and released.,"A Google Lexus model autonmous vehicle (Google AV) traveling northbound on Phyllis Av in Mountain View in manual mode was involved in an accident. As the Google AV proceeded through a green light at the El Camino Real intersection its autonomous technology detected another vehicle traveling westbound on El Camino Real approaching the intersection at 30 mph and began to apply the google av brakes in anticipation that the other vehicle would run through the red light. The google av test driver then disengaged the autonomous technology and took manual control of the google av. Immediately thereafter, the other vehicle ran through the red light and collided with the right side of the google av at 30 mph. At the time of collision the google av was traveling at 22 mph. ","3, 4",37.382639,-122.077786,509902,1000,1,,,,,,,0,
Waymo LLC,10/26/16,10:27 AM,2015,Google,Self driving car,Shoreline Blvd and El Camino Real,Mountain View,Santa Clara,94043,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,0,None,"A Google prototype autonomous vehicle (""Google A V"") traveling southbound in autonomous mode on Shoreline Boulevard in Mountain View was involved in an accident. The Google AV entered a slip lane in order to tum right onto El Camino Real and came to a stop to yield to westbound traffic on El Camino Real. As the Google A V began to move forward onto El Camino Real, another vehicle immediately behind the Google AV collided with the rear of the Google AV. At the time of the collision, the Google AV was traveling at
approximately 3 mph, and the other vehicle was traveling at approximately 6 mph. The Google A V sustained minor damage to its rear hatch. The other vehicle sustained minor damage to its front bumper. There were no injuries reported by either party at the scene.",8,37.409525,-122.078255,509202,3000,3,31.1,803,285,20,403,95,0,212240
Cruise,2/16/17,8:38 AM,2017,Chevrolet,Bolt,1120 Golden Gate,San Francisco,San Francisco,94115,Moving,Moving,3,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Compact Car,Intersection,Vehicle 2,1,The driver of the Subaru intended to seek medical pain evaluation for knee pain,"A Cruise autonomous vehicle (""Cruise AV"") was involved in a accident in San Francisco while traveling eastbound on Golden Gate Avenue between Webster and Buchanan streets. The Cruise AV was operating in autonomous mode at the time of the accident. The intersection at Buchanan does not alow for vehicular cross traffic but is controlled by a crosswalk with yellow lights that flash when activated. As the Cruise AV was approaching the crosswalk at Buchanan, the yellow lights were flashing. The Cruise AV slowed, paused briefly before the crosswalk, and then began to proceed. The vehicle immediately behind the CruiseAV, a Toyota Highlander, also slowed and paused in conert with the Cruise AV. A third wehicle, a subaru, located behind the Toyota, did not slow and collided with the Toyota, causing the Subaru's airbags to deploy. That collision pushed the Toyota into the back of the Cruise AV. None of the occupants of the Cruise AV or Toyota reported injuries at the scene, and the driver of the Subaru intended to seek medical evaluation for knee pain from the collision. The Cruise vehicle sustained minimal damage to its rear bumper. The Toyota sustained minor visible damage to its front and rear bumpers. The Subaru sustained minor visible damage to its front end. ","7, 8,9",37.780109,-122.428784,016102,2002,2,44.9,2152,177,1225,341,325,84,20512
Cruise,3/22/17,1:30 PM,2017,Chevrolet,Bolt,NW Corner of 10th Street and Division Street,San Francisco,San Francisco,94103,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Cmise autonomous vehicle (""Cmise A V"") was traveling southbound on Tenth Street in San FrancisCo in autonomous mode. The Cmise
A V was stopped at a red light with a Mercedes behind it, also stopped. The Cruise A V began moving fotward after the light turned green
and was traveling at 2 mph when the Mercedes collided with the rear of the Cmise AV. The approximate speed ofthe Mercedes at the time
of impact was 4 mph. None of the occupants ofthe Cmise AV or Mercedes reported injuries at the scene. The Cmise AV sustained minor damage to its rear bumper. The Mercedes sustained minor visible daaiagc to its front bumper","7, 8,9",37.775678,-122.412131,017803,1000,1,,,,,,,0,
Cruise,3/23/17,10:36 AM,2017,Chevrolet,Bolt,Broadway  ,San Francisco,San Francisco,94115,Stopped in Traffic,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Head-on,Truck/Bus,Straight Road,Vehicle 2,0,None,"A Cruise autonomous vehicle (""Cruise A V"") was traveling westbound on Broadway in San Francisco in autonomous mode and was in the process of passing a mobile crane truck that was double parked, blocking the westbound lane. Dming this maneuver, a Ford F-250 approached and simultaneously went around both the Cruise A V and the crane truck. While the Ford made its pass, the Cruise AV stopped. 
As the Ford completed its pass and turned back into the forward lane of travel, the Ford clipped the front, driver's side sensor of the Cruise A V. At the time of impact, the Cruise A V was stopped and the Ford was traveling at approximately 4 miles per hour. None of the occupants of the Cruise AV or Ford were inj ured. The Cruise AV sustained minor damage to its front, driver's side sensor and mount. The Ford sustained minor visible damage to its rear, passenger's side tire. ","10, 11",37.793806,-122.437192,013200,1005,1,53.2,1112,589,150,261,47,65,201938
Waymo LLC,3/26/17,4:50 PM,2012,Lexus,RX450h,Shoreline Blvd and El Camino Real,Mountain View,Santa Clara,94043,Moving,Moving,2,Minor,Autonomous,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Rear End,Mid-Sized Car,Intersection,Vehicle 2,0,None,"A Waymo Lexus-model autonomous Vehicle (""Waymo AV"") was involved in a collision while in autonomous mode in the left tum lane on
SB Shoreline near El Camino in Mountain View, CA. The Waymo AV was rear-ended by a Toyota Camry while slowly creeping forward
with traffic at the red light. The Waymo AV was travelling around 1 MPH at the time of collision, the Camry was travelling around 7 MPH
at moment of collision. The Waymo A V had minor damage to its rear bumper, the Camry had minor damage to its front bumper. ","7, 8, 9",37.409525,-122.078255,509202,3000,3,31.1,803,285,20,403,95,0,212240
